verse_key,version_id,eng,local
MAT.1.1,2168,"A record of the ancestors of Jesus Christ, son of David, son of Abraham.","Ahin duma kɛrɛɛ­wam kɛrɛ ti Yesu Kristo nam busu wɔ, fiteeri Abraham kɔ tu Fɛmɛ Davidi fa ba juuri saŋga bo bu wuuri yiri Yesu ni. I nam n busu yaa ni."
MAT.1.2,2168,Abraham was the father of Isaac. Isaac was the father of Jacob. Jacob was the father of Judah and his brothers.,"Abraham wuuri Izaki, na Izaki awu Jakɔbu, na Jakɔbu awu Yuda ni i niɛmam."
MAT.1.3,2168,"Judah was the father of Perez and Zerah, whose mother was Tamar. Perez was the father of Hezron. Hezron was the father of Aram.","na Yuda awu Farɛsɛ ni Zara bo bu ni yo la Tama ni, na Farɛsɛ awu Hɛsarom, na Hɛsarom awu Aram."
MAT.1.4,2168,Aram was the father of Amminadab. Amminadab was the father of Nahshon. Nahshon was the father of Salmon.,"na Aram awu Aminadabu, na Aminadabu awu Naasoni, na Naasoni awu Salɛmɔ."
MAT.1.5,2168,"Salmon was the father of Boaz, whose mother was Rahab. Boaz was the father of Obed, whose mother was Ruth. Obed was the father of Jesse.","na Salɛmɔ awu Boosi bo i ni yo la Rahabu ni, na Boosi gusu awu Yobedi bo i ni yo la Ruti ni, na Yobedi gusu anya awu Yese."
MAT.1.6,2168,"Jesse was the father of David the king. David was the father of Solomon, whose mother had been the wife of Uriah.","bo i gusu wuuri Fɛmɛ Davidi ni. Tɔ, na Fɛmɛ Davidi awu Fɛmɛ Solomon bo i ni yo la Yuriya yi ni."
MAT.1.7,2168,Solomon was the father of Rehoboam. Rehoboam was the father of Abijah. Abijah was the father of Asaph.,"na Fɛmɛ Solomon gusu awu Fɛmɛ Robowam, na Fɛmɛ Robowam awu Fɛmɛ Abiya, na Fɛmɛ Abiya awu Fɛmɛ Asafu."
MAT.1.8,2168,Asaph was the father of Jehoshaphat. Jehoshaphat was the father of Joram. Joram was the father of Uzziah.,"na Fɛmɛ Asafu awu Fɛmɛ Yosafati, na Fɛmɛ Yosafati awu Fɛmɛ Yoram, na Fɛmɛ Yoram awu Fɛmɛ Yoziya."
MAT.1.9,2168,Uzziah was the father of Jotham. Jotham was the father of Ahaz. Ahaz was the father of Hezekiah.,"na Fɛmɛ Yoziya awu Fɛmɛ Yowatam, na Fɛmɛ Yowatam awu Fɛmɛ Ahazi, na Fɛmɛ Ahazi awu Fɛmɛ Hɛzɛkiya."
MAT.1.10,2168,Hezekiah was the father of Manasseh. Manasseh was the father of Amos. Amos was the father of Josiah.,"na Fɛmɛ Hɛzɛkiya awu Fɛmɛ Manase, na Fɛmɛ Manase awu Fɛmɛ Amoni, na Fɛmɛ Amoni awu Fɛmɛ Yosiya."
MAT.1.11,2168,Josiah was the father of Jechoniah and his brothers. This was at the time of the exile to Babylon.,na Fɛmɛ Yosiya awu Fɛmɛ Yɛkoniya ni i niɛmam. Nyini saŋga n ye bu miɛɛri Yisareli­fɔm fiteeri bu asiɛn su kɔɔri Babilɔniya asiɛn su n a.
MAT.1.12,2168,After the exile to Babylon: Jechoniah was the father of Shealtiel. Shealtiel was the father of Zerubbabel.,"Bu faari bu kɔɔri Babilɔniya n dɛɛ n sin ni, na Fɛmɛ Yɛkoniya awu Salatiyeli, na Salatiyeli awu Zorobabɛli."
MAT.1.13,2168,Zerubbabel was the father of Abiud. Abiud was the father of Eliakim. Eliakim was the father of Azor.,"na Zorobabɛli awu Abiyidu, na Abiyidu awu Eliyakimu, na Eliyakimu awu Azore."
MAT.1.14,2168,Azor was the father of Zadok. Zadok was the father of Achim. Achim was the father of Eliud.,"na Azore awu Sadoki, na Sadoki awu Akim, na Akim awu Eliyudu."
MAT.1.15,2168,Eliud was the father of Eleazar. Eleazar was the father of Matthan. Matthan was the father of Jacob.,"na Eliyudu awu Eleyaza, na Eleyaza awu Matan, na Matan awu Jakɔbu nyiŋga bekun."
MAT.1.16,2168,"Jacob was the father of Joseph, the husband of Mary—of whom Jesus was born, who is called the Christ.","na nyini Jakɔbu n awu Yosefu, Mariya hun. Mariya wuuri Yesu bo bu fere i ka Kristo n a, Tii­de­fɔ n bo Nyɛmɛ ase ka i súnma i ni."
