verse_key,version_id,eng,local
MAT.16.1,1731,The Pharisees and Sadducees came to Jesus. In order to test him they asked him to show them a sign from heaven.,"Ɛhɩ, *Falisifʋɛ'n-mɔ nʋn *Sadusifʋɛ'n-mɔ kɔ kpʋ Zozi, afɩ bɛ kulo kɛ bɛ sɔ yɩ́ bɛ nɩan. Bɛ kɔ han bɛ kɔ hele yɩ́ kɛ ɔ yɔ́ asinbɛnwʋn like kʋn maan bɛ nwún kɛ yɩ́ tunmin'n m'ɔ le yɩ́'n fi Nyanmɩan ɛlɔ."
MAT.16.2,1731,"But he replied, At evening you say, It will be nice weather because the sky is bright red.","Mɔ bɛ hanlɩn sɔ'n, Zozi nwan: Nɔsʋba mɔ nyanmɩan nɩn anyunnun kɔ bʋlʋ'n, anɩn ɛmɔ nwan eyua'n 'ba fi ɛhɩnman."
MAT.16.3,1731,"And in the morning you say, There will be bad weather today because the sky is cloudy. You know how to make sense of the skys appearance. But you are unable to recognize the signs that point to what the time is.","Ngɛlɛmɔ kʋsʋ mɔ nyanmɩan nɩn anyunnun kɔ lu'n, anɩn ɛmɔ nwan esue'n 'ba tɔ. Ɛmɔ sɩ nyanmɩan nɩn anyunnun ninnge'n-mɔ nzɔlɛ, nan kʋsʋ ɛmɔ nzɩ man mɛlɛ'n mɔ yɛ wɔ nun'n nzɔlɛ."
MAT.16.4,1731,An evil and unfaithful generation searches for a sign. But it wont receive any sign except Jonahs sign. Then he left them and went away.,"Ajulisʋ menian ati anun ɛtɛ mɔ bɛ nnanndɩ man fɔ́ʋ́n wɔ Nyanmɩan anyunnun'n, bɛ lɛ kpʋnndɛ asinbɛnwʋn like bɛ nɩan. Sɛ nán asinbɛnwʋn like'n mɔ Nyanmɩan yɔlɩ manlɩn Zonasɩ nɩn an, bɛ nyɔ man nzɔlɛ kʋ́n bɛ ngele man bɛ́. Mɔ Zozi hanlɩn sɔ yuelɩ'n, ɔ yacili bɛ́ ɛbɛlɛ ɔ hɔlɩ."
MAT.16.5,1731,"When the disciples arrived on the other side of the lake, they had forgotten to bring bread.","Mɔ Zozi menian'n-mɔ 'kpɛ asue'n bɛ kɔ yɩ́ nzin ɛlɔ'n, bɛ́ lʋa kɔ fi b'a nva man kpaʋn."
MAT.16.6,1731,"Jesus said to them, Watch out and be on your guard for the yeast of the Pharisees and Sadducees.",Zozi kɔ se bɛ́ kɛ: Ɛmɔ nɩ́an bɛ́ nwʋn kpa wɔ *Falisifʋɛ'n-mɔ nʋn *Sadusifʋɛ'n-mɔ fali ayile nɩn anwʋn.
MAT.16.7,1731,"They discussed this among themselves and said, We didnt bring any bread.","Mɔ menian'n-mɔ tɩlɩ yɩ́ sɔ'n, bɛ kɔ han yɩ́ bɛ́ afian ɛlɔ kɛ: Kpaʋn'n mɔ y'a nva man'n, yɩ́ ti y'ɔ man ɔ lɛ kan sɔ ɔ."
MAT.16.8,1731,"Jesus knew what they were discussing and said, You people of weak faith! Why are you discussing among yourselves the fact that you dont have any bread?.","Ɛjɔlɛ'n kɔ tɔ Zozi anzʋ nun, yɩ́ nwan: Nzukɛ ati yɛ̂ ɛmɔ lɛ kan kɛ kɛmɔ y'a nva man kpaʋn'n, yɩ́ ti yɛ̂ ɔ lɛ kan sɔ ɔ? Ɛmɔ dedi'n tɩ kaan o!."
MAT.16.9,1731,Dont you understand yet? Dont you remember the five loaves that fed the five thousand and how many baskets of leftovers you gathered?.,"Ɛmɔ tɩlɩ man ɛjɔlɛ nɩn abʋ ɔ? Ɛmɔ ngacɩ man kpaʋn nnun'n mɔ n valɩ m manlɩn menian akpɩɩ nnun'n lili nɩn ɔ? Ɛsɛ m'ɔ halɩ yɩ́ bʋ'n, ece nyɛ yɛ̂ ɛmɔ sɩsalɩ ɔ?."
MAT.16.10,1731,And the seven loaves that fed the four thousand and how many large baskets of leftovers you gathered?.,"Ɛsɛ kpaʋn nsʋ'n kʋsʋ mɔ n valɩ m manlɩn menian akpɩɩ nnan'n lili'n, m'ɔ halɩ yɩ́ bʋ'n, ece nyɛ yɛ̂ ɛmɔ sɩsalɩ ɔ?."
